,V,E_V,I,E_I,V-I,PROB_VI,neighbor_dist
828,22.59132,0.09902579,22.150509,0.19329613,0.44081116,0.9554028,0.05475769926426993
829,22.591604,0.092697285,22.087282,0.1570913,0.50432205,0.89602333,0.015646272940770638
830,22.590607,0.10251845,21.920353,0.18279383,0.67025375,0.96831983,0.0445847046067641
831,22.598978,0.06977656,22.09377,0.12163867,0.50520897,0.86479175,0.017541087956972554
832,22.603079,0.08443131,22.05767,0.14382195,0.54540825,0.89403975,0.040146874560793584
833,22.605341,0.07618669,22.024523,0.13109142,0.5808182,0.9139435,0.05144675670140668
834,22.607298,0.084262684,21.958467,0.13987823,0.6488304,0.87878174,0.03476808048786148
835,22.619965,0.07461185,22.029213,0.12880926,0.59075165,0.8727381,0.05144675670140668
836,22.62078,0.10084391,21.965504,0.1662228,0.65527725,0.938972,0.05052486068609484
837,22.621054,0.11890652,21.982712,0.19585821,0.6383419,0.9526643,0.02815013106690644
838,22.625498,0.10118989,22.070034,0.16712902,0.5554638,0.94380915,0.045876997276660114
839,22.62645,0.076540165,22.147142,0.13565812,0.47930717,0.88006705,0.04043455414409807
840,22.629152,0.0695282,22.22458,0.12600261,0.40457153,0.9011898,0.09464668097456014
841,22.628462,0.07827534,22.122559,0.13777392,0.50590324,0.9031301,0.015173593743985818
842,22.627697,0.07211365,22.028933,0.124206215,0.5987644,0.89179474,0.034545097253851104
843,22.63138,0.10955246,22.234152,0.18827851,0.39722824,0.91754586,0.07133418720704798
844,22.632711,0.09830655,21.993778,0.16080219,0.6389332,0.9549656,0.02076543940085972
845,22.635242,0.105832875,22.254848,0.19078287,0.38039398,0.965196,0.08013228097201448
846,22.63445,0.09900515,22.128483,0.1739681,0.5059681,0.93990767,0.013129086539766969
847,22.636839,0.105044894,22.133472,0.17421648,0.5033665,0.9251386,0.015173593743985818
848,22.637537,0.1026607,22.199247,0.17095515,0.43828964,0.9441752,0.04842454512987035
849,22.63818,0.08388979,22.12231,0.14596269,0.51586914,0.930048,0.04925502144204712
850,22.637835,0.117046416,22.024559,0.19526352,0.6132755,0.90047663,0.058464618119152816
851,22.639988,0.09390472,22.158195,0.16301903,0.48179245,0.894443,0.02859047827929763
852,22.642601,0.11919857,22.17075,0.21673794,0.47185135,0.95473963,0.044759779621802845
853,22.643051,0.101535715,22.19711,0.17928539,0.44594193,0.94939554,0.04907906927792906
854,22.642506,0.119754545,22.100302,0.20051436,0.5422039,0.94071996,0.034663650348174604
855,22.64256,0.11098988,22.065365,0.18566243,0.5771942,0.9561016,0.0417408111269266
856,22.644018,0.07703471,22.15365,0.13519649,0.4903679,0.89366883,0.042730279801244136
857,22.645607,0.06988525,22.00993,0.12015349,0.63567734,0.9121299,0.02815013106690644
858,22.648403,0.07574428,22.192627,0.14400677,0.4557762,0.894072,0.06574780640542482
859,22.648481,0.06805531,22.124943,0.11897904,0.5235386,0.8758108,0.03952919056494444
860,22.65754,0.10953453,22.059345,0.19806112,0.5981941,0.95946467,0.027265878054648446
861,22.659323,0.08179208,22.09722,0.13853616,0.5621033,0.89754975,0.04716607283340294
862,22.659437,0.08165774,22.058113,0.14659259,0.6013241,0.95471203,0.01638907851296626
